x,y,vx,vy,radius
6.0926,6.6737,1.9235,0.2477,0.4457
9.1957,3.4299,0.7093,-1.2926,0.2208
4.3080,3.6356,0.9059,-0.2841,0.2062
5.9723,3.1740,0.0134,1.3612,0.2725
6.8643,6.8117,1.4419,0.4529,0.3812
6.4881,5.2723,0.3166,0.0673,0.4530
5.6072,10.3492,1.3263,-1.6738,0.3305
4.2831,6.1073,-0.5256,-1.2430,0.4165
6.8948,6.0297,0.2756,0.2741,0.4120
6.4388,8.6266,1.2013,0.3328,0.2057
8.4258,5.1034,0.1498,0.2613,0.2458
0.8934,5.4561,-0.6686,0.1043,0.2403
9.8396,10.2949,2.0990,-1.5883,0.2256
5.1688,6.1569,-0.1403,0.7062,0.4943
6.9576,9.3515,1.2292,-0.0353,0.3541
6.0344,5.9714,-1.9756,1.7730,0.4531
5.0166,8.0926,2.0176,-1.5537,0.4870
5.7606,4.5477,-0.2908,-0.5307,0.3984
5.5991,5.3584,0.0840,-0.1450,0.4546
7.7739,4.4659,-0.1705,-0.6076,0.2554
